IMU | Gyro(dps):0.110,0.146,-0.0
13 | LinAcc(g):0.002,0.002,-0.006 | GyroMag:0.1830.006
IMU | Gyro(dps):-0.204,-0.487,0.670 | LinAcc(g):0.003,-0.021,-0.001 | GyroMag:0.8530.022
IMU | Gyro(dps):-0.168,-0.454,0.571 | LinAcc(g):0.004,-0.021,-0.001 | GyroMag:0.7490.021
IMU | Gyro(dps):-0.129,-0.397,0.490 | LinAcc(g):0.005,-0.020,-0.001 | GyroMag:0.6430.021
IMU | Gyro(dps):-0.152,-0.360,0.411 | LinAcc(g):0.005,-0.021,-0.001 | GyroMag:0.5670.022
IMU | Gyro(dps):-0.126,-0.290,0.391 | LinAcc(g):0.006,-0.021,-0.001 | GyroMag:0.5030.022
IMU | Gyro(dps):-0.090,-0.272,0.342 | LinAcc(g):0.006,-0.020,-0.001 | GyroMag:0.4460.021
IMU | Gyro(dps):-0.094,-0.214,0.285 | LinAcc(g):0.006,-0.020,-0.002 | GyroMag:0.3690.021
IMU | Gyro(dps):-0.096,-0.153,0.276 | LinAcc(g):0.007,-0.020,-0.002 | GyroMag:0.3300.021
IMU | Gyro(dps):-0.071,-0.142,0.265 | LinAcc(g):0.008,-0.020,-0.002 | GyroMag:0.3080.021
IMU | Gyro(dps):-0.016,-0.141,0.221 | LinAcc(g):0.008,-0.020,-0.002 | GyroMag:0.2630.021
IMU | Gyro(dps):0.012,-0.126,0.207 | LinAcc(g):0.008,-0.020,-0.002 | GyroMag:0.2430.021
IMU | Gyro(dps):-0.000,-0.105,0.192 | LinAcc(g):0.008,-0.019,-0.001 | GyroMag:0.2190.021
IMU | Gyro(dps):0.006,-0.105,0.184 | LinAcc(g):0.008,-0.019,-0.002 | GyroMag:0.2120.020
IMU | Gyro(dps):0.038,-0.104,0.135 | LinAcc(g):0.008,-0.019,-0.002 | GyroMag:0.1750.020
IMU | Gyro(dps):0.040,-0.116,0.071 | LinAcc(g):0.008,-0.018,-0.001 | GyroMag:0.1420.020
IMU | Gyro(dps):0.038,-0.049,0.063 | LinAcc(g):0.008,-0.018,-0.001 | GyroMag:0.0880.020
IMU | Gyro(dps):0.058,-0.018,0.025 | LinAcc(g):0.009,-0.018,-0.000 | GyroMag:0.0660.020
IMU | Gyro(dps):0.050,0.039,0.030 | LinAcc(g):0.008,-0.017,-0.000 | GyroMag:0.0700.019
IMU | Gyro(dps):0.019,0.049,0.038 | LinAcc(g):0.008,-0.017,0.000 | GyroMag:0.0640.019
IMU | Gyro(dps):0.003,0.038,0.082 | LinAcc(g):0.008,-0.016,-0.000 | GyroMag:0.0910.018
IMU | Gyro(dps):-0.022,0.011,0.082 | LinAcc(g):0.008,-0.016,-0.001 | GyroMag:0.0860.018
IMU | Gyro(dps):0.009,0.021,0.066 | LinAcc(g):0.008,-0.016,-0.001 | GyroMag:0.0700.018
IMU | Gyro(dps):0.024,0.040,0.079 | LinAcc(g):0.008,-0.016,-0.001 | GyroMag:0.0920.017
