IMU | Gyro(dps):4.617,3.063,-0.899 | LinAcc(g):-0.057,-0.017,-0.013 | GyroMag:5.6130.061
IMU | Gyro(dps):3.892,2.619,-0.760 | LinAcc(g):-0.049,-0.012,-0.010 | GyroMag:4.7520.052
IMU | Gyro(dps):3.350,2.211,-0.657 | LinAcc(g):-0.042,-0.008,-0.009 | GyroMag:4.0670.044
IMU | Gyro(dps):2.899,1.911,-0.558 | LinAcc(g):-0.037,-0.004,-0.007 | GyroMag:3.5170.038
IMU | Gyro(dps):2.573,1.653,-0.475 | LinAcc(g):-0.032,-0.001,-0.005 | GyroMag:3.0950.033
IMU | Gyro(dps):2.278,1.418,-0.398 | LinAcc(g):-0.028,0.002,-0.004 | GyroMag:2.7130.028
IMU | Gyro(dps):2.052,1.222,-0.333 | LinAcc(g):-0.025,0.004,-0.003 | GyroMag:2.4110.025
IMU | Gyro(dps):1.797,1.065,-0.232 | LinAcc(g):-0.021,0.005,-0.002 | GyroMag:2.1020.022
IMU | Gyro(dps):1.517,0.950,-0.199 | LinAcc(g):-0.018,0.006,-0.002 | GyroMag:1.8010.020
IMU | Gyro(dps):1.296,0.856,-0.125 | LinAcc(g):-0.016,0.008,-0.001 | GyroMag:1.5580.018
IMU | Gyro(dps):1.108,0.712,-0.077 | LinAcc(g):-0.015,0.009,-0.000 | GyroMag:1.3190.017
IMU | Gyro(dps):0.948,0.623,-0.068 | LinAcc(g):-0.013,0.010,0.001 | GyroMag:1.1370.017
IMU | Gyro(dps):0.879,0.513,-0.002 | LinAcc(g):-0.012,0.010,0.001 | GyroMag:1.0170.016
IMU | Gyro(dps):0.800,0.465,0.002 | LinAcc(g):-0.011,0.011,0.001 | GyroMag:0.9260.015
IMU | Gyro(dps):0.701,0.371,0.011 | LinAcc(g):-0.010,0.011,0.002 | GyroMag:0.7940.015
IMU | Gyro(dps):0.631,0.352,0.066 | LinAcc(g):-0.009,0.012,0.002 | GyroMag:0.7260.015
IMU | Gyro(dps):0.536,0.284,0.037 | LinAcc(g):-0.008,0.012,0.001 | GyroMag:0.6080.014
IMU | Gyro(dps):0.478,0.218,0.054 | LinAcc(g):-0.008,0.012,0.001 | GyroMag:0.5280.014
IMU | Gyro(dps):0.448,0.163,0.080 | LinAcc(g):-0.007,0.012,0.002 | GyroMag:0.4840.014
IMU | Gyro(dps):0.417,0.171,0.072 | LinAcc(g):-0.006,0.012,0.001 | GyroMag:0.4570.014
IMU | Gyro(dps):0.390,0.155,0.085 | LinAcc(g):-0.006,0.012,0.002 | GyroMag:0.4280.014
IMU | Gyro(dps):0.334,0.166,0.080 | LinAcc(g):-0.006,0.012,0.002 | GyroMag:0.3820.014
IMU | Gyro(dps):0.278,0.161,0.070 | LinAcc(g):-0.006,0.012,0.002 | GyroMag:0.3290.014
IMU | Gyro(dps):0.225,0.112,0.023 | LinAcc(g):-0.005,0.012,0.001 | GyroMag:0.2530.013
