IMU | Gyro(dps):-10.730,13.121,63.247 | LinAcc(g):0.338,0.015,-0.009 | GyroMag:65.479 | LinAccMag:0.339
IMU | Gyro(dps):-3.247,16.444,74.319 | LinAcc(g):0.347,-0.019,-0.011 | GyroMag:76.185 | LinAccMag:0.347
IMU | Gyro(dps):1.797,20.005,80.568 | LinAcc(g):0.367,-0.005,-0.001 | GyroMag:83.034 | LinAccMag:0.367
IMU | Gyro(dps):6.061,26.243,78.197 | LinAcc(g):0.302,0.013,-0.022 | GyroMag:82.705 | LinAccMag:0.303
IMU | Gyro(dps):8.829,31.534,68.034 | LinAcc(g):0.267,-0.013,-0.016 | GyroMag:75.505 | LinAccMag:0.268
IMU | Gyro(dps):16.067,28.211,53.297 | LinAcc(g):0.237,-0.033,-0.022 | GyroMag:62.407 | LinAccMag:0.240
IMU | Gyro(dps):17.531,19.057,41.831 | LinAcc(g):0.162,-0.067,0.009 | GyroMag:49.197 | LinAccMag:0.176
IMU | Gyro(dps):16.613,14.988,28.450 | LinAcc(g):0.085,-0.092,0.011 | GyroMag:36.194 | LinAccMag:0.126
IMU | Gyro(dps):13.243,13.790,16.055 | LinAcc(g):-0.026,-0.106,0.059 | GyroMag:24.967 | LinAccMag:0.124
IMU | Gyro(dps):13.563,9.383,5.147 | LinAcc(g):-0.054,-0.097,0.061 | GyroMag:17.277 | LinAccMag:0.127
IMU | Gyro(dps):16.488,-5.342,-2.296 | LinAcc(g):-0.134,-0.080,0.068 | GyroMag:17.484 | LinAccMag:0.170
IMU | Gyro(dps):13.029,-3.832,-13.869 | LinAcc(g):-0.217,-0.045,0.089 | GyroMag:19.411 | LinAccMag:0.239
IMU | Gyro(dps):7.297,-5.928,-27.845 | LinAcc(g):-0.260,-0.011,0.087 | GyroMag:29.390 | LinAccMag:0.274
IMU | Gyro(dps):7.303,-6.346,-40.958 | LinAcc(g):-0.288,-0.001,0.078 | GyroMag:42.085 | LinAccMag:0.298
IMU | Gyro(dps):6.063,-7.035,-51.044 | LinAcc(g):-0.309,-0.001,0.085 | GyroMag:51.882 | LinAccMag:0.321
IMU | Gyro(dps):4.610,-7.138,-57.059 | LinAcc(g):-0.324,-0.000,0.084 | GyroMag:57.688 | LinAccMag:0.335
IMU | Gyro(dps):3.607,-7.303,-58.468 | LinAcc(g):-0.331,-0.002,0.082 | GyroMag:59.032 | LinAccMag:0.341
IMU | Gyro(dps):3.107,-8.156,-53.886 | LinAcc(g):-0.325,-0.005,0.080 | GyroMag:54.589 | LinAccMag:0.335
IMU | Gyro(dps):2.889,-10.671,-44.226 | LinAcc(g):-0.264,0.003,0.075 | GyroMag:45.587 | LinAccMag:0.275
IMU | Gyro(dps):2.943,-8.212,-37.879 | LinAcc(g):-0.215,0.005,0.073 | GyroMag:38.870 | LinAccMag:0.227
IMU | Gyro(dps):2.604,-7.265,-32.331 | LinAcc(g):-0.176,0.009,0.072 | GyroMag:33.240 | LinAccMag:0.191
IMU | Gyro(dps):2.275,-6.502,-27.548 | LinAcc(g):-0.143,0.012,0.070 | GyroMag:28.396 | LinAccMag:0.160
IMU | Gyro(dps):2.065,-5.626,-23.461 | LinAcc(g):-0.116,0.015,0.066 | GyroMag:24.214 | LinAccMag:0.134
IMU | Gyro(dps):1.831,-4.820,-19.977 | LinAcc(g):-0.092,0.017,0.063 | GyroMag:20.631 | LinAccMag:0.113
IMU | Gyro(dps):1.615,-4.125,-16.914 | LinAcc(g):-0.073,0.020,0.061 | GyroMag:17.485 | LinAccMag:0.097
IMU | Gyro(dps):1.537,-3.558,-14.414 | LinAcc(g):-0.058,0.021,0.058 | GyroMag:14.926 | LinAccMag:0.085
IMU | Gyro(dps):1.386,-3.078,-12.245 | LinAcc(g):-0.043,0.023,0.058 | GyroMag:12.702 | LinAccMag:0.076
IMU | Gyro(dps):1.263,-2.631,-10.475 | LinAcc(g):-0.031,0.025,0.055 | GyroMag:10.874 | LinAccMag:0.068
IMU | Gyro(dps):1.137,-2.286,-8.905 | LinAcc(g):-0.022,0.025,0.053 | GyroMag:9.264 | LinAccMag:0.062
IMU | Gyro(dps):1.014,-1.960,-7.565 | LinAcc(g):-0.013,0.026,0.051 | GyroMag:7.881 | LinAccMag:0.059
