Calibrating gyro... keep IMU still.
Gyro bias raw | Gx: -502.59 Gy: 155.51 Gz: -44.83
IMU | Gyro(dps):0.057,0.011,-0.063 | LinAcc(g):0.040,0.035,0.055 | GyroMag:0.0860.076
IMU | Gyro(dps):0.082,0.029,-0.050 | LinAcc(g):0.039,0.033,0.055 | GyroMag:0.1010.075
IMU | Gyro(dps):0.081,0.038,-0.027 | LinAcc(g):0.039,0.033,0.054 | GyroMag:0.0930.074
IMU | Gyro(dps):0.065,0.019,-0.026 | LinAcc(g):0.038,0.032,0.053 | GyroMag:0.0730.072
IMU | Gyro(dps):0.051,0.009,-0.016 | LinAcc(g):0.037,0.031,0.052 | GyroMag:0.0540.071
IMU | Gyro(dps):0.052,0.015,0.014 | LinAcc(g):0.037,0.030,0.052 | GyroMag:0.0560.070
IMU | Gyro(dps):0.060,0.023,0.018 | LinAcc(g):0.036,0.029,0.051 | GyroMag:0.0670.069
IMU | Gyro(dps):0.030,0.016,-0.020 | LinAcc(g):0.035,0.029,0.050 | GyroMag:0.0390.068
IMU | Gyro(dps):0.048,0.026,-0.008 | LinAcc(g):0.034,0.029,0.049 | GyroMag:0.0550.066
IMU | Gyro(dps):0.046,0.021,-0.010 | LinAcc(g):0.033,0.028,0.048 | GyroMag:0.0520.064
IMU | Gyro(dps):0.004,0.052,0.001 | LinAcc(g):0.033,0.027,0.047 | GyroMag:0.0520.063
IMU | Gyro(dps):-0.024,0.053,0.012 | LinAcc(g):0.033,0.027,0.046 | GyroMag:0.0590.062
IMU | Gyro(dps):-0.050,0.043,0.003 | LinAcc(g):0.032,0.027,0.044 | GyroMag:0.0660.061
IMU | Gyro(dps):-0.038,0.015,-0.006 | LinAcc(g):0.032,0.026,0.044 | GyroMag:0.0420.060
IMU | Gyro(dps):-0.028,-0.014,-0.007 | LinAcc(g):0.031,0.026,0.043 | GyroMag:0.0320.059
IMU | Gyro(dps):-0.020,-0.011,-0.036 | LinAcc(g):0.031,0.026,0.042 | GyroMag:0.0420.058
IMU | Gyro(dps):-0.009,0.040,-0.053 | LinAcc(g):0.030,0.025,0.041 | GyroMag:0.0680.057
IMU | Gyro(dps):-0.038,0.021,-0.043 | LinAcc(g):0.029,0.025,0.040 | GyroMag:0.0620.055
IMU | Gyro(dps):-0.062,0.000,-0.055 | LinAcc(g):0.028,0.025,0.039 | GyroMag:0.0830.054
IMU | Gyro(dps):-0.013,0.038,-0.019 | LinAcc(g):0.028,0.024,0.038 | GyroMag:0.0450.053
IMU | Gyro(dps):-0.010,0.003,-0.032 | LinAcc(g):0.027,0.024,0.037 | GyroMag:0.0340.052
