IMU | Gyro(dps):-3.304,12.556,140.641 | LinAcc(g):-0.097,0.096,0.020 | GyroMag:141.2390.138
IMU | Gyro(dps):-2.778,12.247,128.411 | LinAcc(g):-0.161,0.105,0.011 | GyroMag:129.0230.192
IMU | Gyro(dps):-2.290,10.764,115.758 | LinAcc(g):-0.208,0.114,0.007 | GyroMag:116.2800.237
IMU | Gyro(dps):-2.541,9.199,103.419 | LinAcc(g):-0.257,0.118,0.000 | GyroMag:103.8580.283
IMU | Gyro(dps):-3.912,8.494,94.807 | LinAcc(g):-0.294,0.106,0.003 | GyroMag:95.2670.313
IMU | Gyro(dps):-2.538,6.616,89.231 | LinAcc(g):-0.323,0.107,0.023 | GyroMag:89.5120.341
IMU | Gyro(dps):-2.880,5.928,84.967 | LinAcc(g):-0.343,0.110,0.015 | GyroMag:85.2220.360
IMU | Gyro(dps):-1.872,5.430,80.069 | LinAcc(g):-0.342,0.113,0.012 | GyroMag:80.2750.361
IMU | Gyro(dps):-0.800,4.708,72.272 | LinAcc(g):-0.343,0.120,0.006 | GyroMag:72.4300.364
IMU | Gyro(dps):-0.418,3.870,61.345 | LinAcc(g):-0.336,0.124,0.006 | GyroMag:61.4690.358
IMU | Gyro(dps):-0.811,-3.178,52.629 | LinAcc(g):-0.271,0.102,0.011 | GyroMag:52.7310.290
IMU | Gyro(dps):0.445,-1.304,43.803 | LinAcc(g):-0.222,0.075,0.016 | GyroMag:43.8250.235
IMU | Gyro(dps):0.672,-1.692,36.878 | LinAcc(g):-0.188,0.061,0.005 | GyroMag:36.9230.197
IMU | Gyro(dps):0.461,-2.231,31.242 | LinAcc(g):-0.160,0.045,0.004 | GyroMag:31.3250.166
IMU | Gyro(dps):-0.996,-4.219,25.066 | LinAcc(g):-0.126,0.025,-0.001 | GyroMag:25.4380.129
IMU | Gyro(dps):-1.706,-7.791,19.306 | LinAcc(g):-0.112,0.019,-0.010 | GyroMag:20.8890.114
IMU | Gyro(dps):-2.795,-9.975,14.868 | LinAcc(g):-0.082,0.004,-0.001 | GyroMag:18.1210.082
IMU | Gyro(dps):-2.616,-8.913,12.297 | LinAcc(g):-0.062,0.002,-0.006 | GyroMag:15.4110.062
IMU | Gyro(dps):-2.574,-7.751,10.767 | LinAcc(g):-0.047,-0.006,-0.006 | GyroMag:13.5140.048
IMU | Gyro(dps):-2.124,-6.491,9.219 | LinAcc(g):-0.036,-0.011,-0.009 | GyroMag:11.4730.038
IMU | Gyro(dps):-1.624,-5.526,7.873 | LinAcc(g):-0.027,-0.014,-0.009 | GyroMag:9.7550.032
IMU | Gyro(dps):-1.167,-4.561,6.656 | LinAcc(g):-0.019,-0.018,-0.010 | GyroMag:8.1520.028
