IMU | Gyro(dps):0.463,-0.746,-5.085 | LinAcc(g):-0.072,-0.030,0.002 | GyroMag:5.161 | LinAccMag:0.078
IMU | Gyro(dps):0.891,-0.927,-4.167 | LinAcc(g):-0.060,-0.025,-0.004 | GyroMag:4.361 | LinAccMag:0.065
IMU | Gyro(dps):0.879,-1.043,-3.410 | LinAcc(g):-0.047,-0.020,-0.002 | GyroMag:3.672 | LinAccMag:0.051
IMU | Gyro(dps):0.801,-0.928,-2.896 | LinAcc(g):-0.038,-0.015,-0.002 | GyroMag:3.145 | LinAccMag:0.041
IMU | Gyro(dps):0.722,-0.824,-2.488 | LinAcc(g):-0.028,-0.011,-0.003 | GyroMag:2.719 | LinAccMag:0.030
IMU | Gyro(dps):0.595,-0.486,-2.097 | LinAcc(g):-0.020,-0.010,-0.007 | GyroMag:2.234 | LinAccMag:0.023
IMU | Gyro(dps):0.461,-0.268,-1.727 | LinAcc(g):-0.014,-0.006,-0.006 | GyroMag:1.807 | LinAccMag:0.016
IMU | Gyro(dps):0.255,-0.275,-1.389 | LinAcc(g):-0.010,-0.003,-0.005 | GyroMag:1.439 | LinAccMag:0.011
IMU | Gyro(dps):0.215,-0.248,-1.093 | LinAcc(g):-0.006,-0.002,-0.003 | GyroMag:1.141 | LinAccMag:0.007
IMU | Gyro(dps):0.269,-0.257,-0.932 | LinAcc(g):-0.002,-0.001,-0.002 | GyroMag:1.003 | LinAccMag:0.003
IMU | Gyro(dps):0.243,-0.206,-0.819 | LinAcc(g):0.000,-0.000,-0.003 | GyroMag:0.878 | LinAccMag:0.003
IMU | Gyro(dps):0.257,-0.209,-0.716 | LinAcc(g):0.002,0.000,-0.002 | GyroMag:0.789 | LinAccMag:0.003
IMU | Gyro(dps):0.270,-0.137,-0.605 | LinAcc(g):0.004,0.001,-0.001 | GyroMag:0.676 | LinAccMag:0.005
IMU | Gyro(dps):0.273,-0.152,-0.524 | LinAcc(g):0.006,0.001,-0.001 | GyroMag:0.610 | LinAccMag:0.006
IMU | Gyro(dps):0.258,-0.167,-0.382 | LinAcc(g):0.007,0.002,-0.000 | GyroMag:0.490 | LinAccMag:0.008
IMU | Gyro(dps):0.211,-0.150,-0.326 | LinAcc(g):0.008,0.002,-0.000 | GyroMag:0.416 | LinAccMag:0.008
IMU | Gyro(dps):0.161,-0.094,-0.321 | LinAcc(g):0.009,0.003,-0.000 | GyroMag:0.371 | LinAccMag:0.009
IMU | Gyro(dps):0.146,-0.092,-0.326 | LinAcc(g):0.010,0.003,0.000 | GyroMag:0.368 | LinAccMag:0.010
IMU | Gyro(dps):0.114,-0.061,-0.294 | LinAcc(g):0.010,0.003,0.001 | GyroMag:0.322 | LinAccMag:0.011
IMU | Gyro(dps):0.074,-0.059,-0.217 | LinAcc(g):0.010,0.003,0.001 | GyroMag:0.237 | LinAccMag:0.011
IMU | Gyro(dps):0.025,-0.008,-0.231 | LinAcc(g):0.010,0.003,0.001 | GyroMag:0.232 | LinAccMag:0.011
IMU | Gyro(dps):0.007,-0.015,-0.200 | LinAcc(g):0.012,0.004,0.002 | GyroMag:0.201 | LinAccMag:0.012
IMU | Gyro(dps):0.028,0.003,-0.169 | LinAcc(g):0.012,0.004,0.001 | GyroMag:0.171 | LinAccMag:0.013
IMU | Gyro(dps):0.026,0.039,-0.149 | LinAcc(g):0.011,0.005,0.001 | GyroMag:0.156 | LinAccMag:0.012
IMU | Gyro(dps):-0.015,0.038,-0.184 | LinAcc(g):0.012,0.005,0.001 | GyroMag:0.188 | LinAccMag:0.013
IMU | Gyro(dps):-0.028,0.082,-0.148 | LinAcc(g):0.012,0.005,0.001 | GyroMag:0.171 | LinAccMag:0.013
IMU | Gyro(dps):0.004,0.060,-0.153 | LinAcc(g):0.012,0.005,0.002 | GyroMag:0.165 | LinAccMag:0.013
IMU | Gyro(dps):0.028,0.014,-0.132 | LinAcc(g):0.012,0.004,0.002 | GyroMag:0.135 | LinAccMag:0.013
IMU | Gyro(dps):0.017,0.042,-0.117 | LinAcc(g):0.012,0.005,0.001 | GyroMag:0.125 | LinAccMag:0.013
IMU | Gyro(dps):0.005,0.046,-0.160 | LinAcc(g):0.012,0.004,0.001 | GyroMag:0.167 | LinAccMag:0.013
IMU | Gyro(dps):0.010,0.008,-0.122 | LinAcc(g):0.012,0.004,0.000 | GyroMag:0.122 | LinAccMag:0.013
