1760,-16,17868,-1306,-1073,716
2348,-340,18016,-1079,-1177,849
2756,-532,17920,-960,-1216,523
2980,-496,17784,-974,-1167,293
3348,-252,17608,-1100,-1240,-91
3212,-16,17272,-1331,-1187,-424
2820,116,17544,-1566,-943,-390
2864,164,17744,-1503,-796,-127
3308,152,17720,-1314,-776,-45
3292,216,17816,-1392,-715,-149
3180,84,18120,-1560,-721,-190
3164,-96,18636,-1492,-544,-82
3360,-124,19024,-1039,-446,-136
3488,-448,19124,-640,-409,-271
3692,-396,18784,-505,-364,-487
3676,-268,18268,-680,-378,-802
3472,-312,18480,-827,-299,-774
3620,-384,18628,-843,-495,-668
3792,-656,18832,-794,-659,-711
4368,-1032,18656,-639,-857,-880
4840,-1104,18708,-429,-1057,-1095
5272,-948,18296,-278,-1053,-1462
5424,-736,18108,-190,-713,-1731
5324,-548,17720,-131,-636,-1891
5468,-588,17744,48,-386,-2012
5840,-668,17276,124,-443,-2149
5844,-372,17028,-89,-417,-2502
5728,-564,16856,-484,-528,-2847
5184,-476,17040,-594,-744,-2973
4720,16,17992,-173,-287,-2710
4556,300,17408,225,632,-2456
4756,220,17572,227,842,-2782
3648,-52,17416,25,1147,-2817
2912,28,17772,-269,1216,-2786
2792,-128,18184,-388,960,-2729
2968,-252,18420,-292,864,-2824
2692,124,18316,-136,928,-3114
2028,444,18340,117,1075,-3029
1576,608,18028,213,945,-2774
1688,496,17792,229,839,-2597
1744,356,17812,179,284,-2640
1844,268,17580,-118,287,-2681
1852,144,17348,-540,47,-2757
2268,116,17776,-845,-235,-2757
2268,252,17732,-982,-13,-2859
2064,412,17712,-1030,177,-2897
1904,308,17888,-1023,262,-2759
1800,368,17960,-1090,172,-2654
1972,352,17740,-1189,-82,-2661
2008,144,17608,-1331,-94,-2484
2192,92,17852,-1163,212,-1988
2684,-220,18272,-749,495,-1663
3056,-312,18096,-380,699,-1709
3188,-744,17696,-439,904,-2082
2420,-384,17692,-744,849,-2421
1760,-220,17848,-900,700,-2318
1692,-232,18184,-907,464,-2165
1652,-384,18384,-754,464,-2001
1672,-688,18500,-465,469,-1801
1944,-700,18624,-163,500,-1781
1832,-268,18152,10,380,-1817
1964,192,17728,-185,331,-2031
1592,344,17624,-579,119,-2108
1372,384,17768,-818,263,-1866
1432,260,18312,-695,219,-1598
1660,288,18196,-518,237,-1693
1504,376,17956,-275,119,-1545
1844,548,17712,-150,154,-1363
2000,300,17512,-186,150,-1296
2064,180,17620,-278,125,-1155
2416,208,17360,-342,59,-1241
2436,240,17176,-531,137,-1332
2184,176,17324,-618,243,-1205
2048,376,17792,-573,315,-1078
1972,224,17864,-471,290,-941
2196,200,17712,-520,227,-1056
1800,72,17916,-607,-33,-1303
1592,176,18100,-444,-147,-1219
1340,252,18016,-397,50,-894
1676,252,18024,-470,322,-741
1932,308,17988,-586,190,-956
1776,256,17888,-724,48,-1019
1752,36,17944,-781,113,-887
1972,-68,18184,-534,-17,-842
2172,16,17848,-402,-99,-979
2260,260,17852,-382,16,-1035
1944,508,17460,-687,468,-1038
1688,264,17684,-1010,696,-917
1412,272,18164,-1110,553,-904
936,40,18700,-1089,376,-625
1248,-196,18820,-902,-61,-453
1920,-384,18360,-949,-295,-693
2124,-388,17716,-1286,-471,-1086
1720,-428,17804,-1603,-497,-1121
1676,-612,18292,-1562,-177,-853
2164,-656,18724,-1125,-15,-835
1864,-584,18756,-622,247,-908
1796,-260,18256,-411,471,-866
1296,-196,18292,-478,546,-678
1604,-244,18344,-417,456,-519
1420,-72,18456,-422,387,-654
1140,-132,18400,-471,337,-578
1376,-144,18416,-538,229,-453
1764,-300,18372,-594,317,-430
2108,-360,18188,-672,162,-549
2204,-752,17952,-903,233,-836
1740,-808,18192,-1101,-114,-933
1912,-616,18276,-1016,-127,-1132
1360,-656,18312,-808,-299,-1107
1424,-640,18212,-672,-338,-949
1528,-580,18344,-547,-600,-874
1992,-252,18204,-482,-628,-831
1936,44,17816,-561,-499,-821
1784,-16,17904,-643,-153,-659
1964,-276,18000,-588,-90,-682
1896,-284,17812,-570,89,-882
1496,-420,17808,-674,242,-851
1704,-388,18044,-591,193,-839
1612,-324,17992,-576,75,-892
1020,-392,18132,-624,-79,-759
1068,-516,18580,-498,-405,-444
1568,-508,18484,-367,-634,-452
1668,-108,18340,-281,-678,-611
1780,-28,17596,-450,-619,-746
1392,124,17688,-626,-376,-709
1356,-372,18276,-466,-537,-357
2292,-620,18112,-317,-805,-388
2680,-632,17592,-532,-1015,-946
2768,-528,17140,-880,-1117,-1267
2788,-192,16944,-1281,-1013,-1519
2296,-84,17624,-1427,-494,-1317
2048,-264,17964,-1094,-268,-1071
2008,-328,17772,-690,-63,-769
2016,-308,17632,-637,-48,-794
2240,-212,18028,-778,-705,-1137
2364,-56,17664,-1387,-844,-1737
1796,136,18068,-1872,-1115,-2229
1044,656,18500,-1827,-1177,-2175
492,844,18792,-1399,-967,-1640
540,556,18392,-540,-505,-549
1508,136,17972,-1,-73,32
2076,-488,17840,-77,52,-112
2144,-664,17920,-518,-257,-510
1728,-348,18008,-1057,-411,-835
1440,-592,18448,-1003,-375,-608
1588,-636,18504,-619,-64,-380
1548,-1012,18380,-71,158,-60
1964,-1044,17956,25,261,-85
1396,-1188,17980,-269,336,-235
924,-1200,18588,-338,70,-53
948,-1052,19028,-230,-123,144
1236,-912,18984,-65,-342,101
1760,-928,18176,-195,-623,-336
1460,-640,17636,-562,-724,-533
1548,-860,17820,-737,-759,-418
1844,-928,18040,-400,-806,-229
2184,-892,17720,74,-703,1
2604,-744,17004,53,-520,-135
2496,-492,16532,-297,-455,-307
2096,-456,16464,-561,-584,-225
1884,-484,16664,-612,-643,-99
2296,-336,16420,-653,-745,-78
2092,-432,16436,-675,-658,-202
2152,-544,16368,-565,-462,-230
2152,-352,15696,-582,-610,-168
2028,-228,15752,-808,-528,-141
1668,-80,15848,-734,-734,-12
1748,56,15700,-615,-617,269
1620,-668,16684,-303,-1156,684
1504,-420,15604,-563,-255,678
1796,-432,15756,-555,-1077,499
1744,232,16196,-200,-1494,-9
1432,356,15396,-122,-1345,274
2104,452,14892,-341,-1157,573
2776,480,14700,-730,-1084,623
2752,696,14824,-1036,-783,648
2892,744,14928,-1063,-298,934
2952,388,15112,-1012,155,1012
2892,416,15140,-1295,791,1047
2756,248,15416,-1843,1151,851
2152,-244,15900,-2353,1328,768
2076,-664,16108,-2706,981,766
2600,-800,16116,-3221,907,423
3052,-836,16292,-3588,779,98
3056,-504,16196,-3909,956,11
3164,-312,16748,-3829,1377,333
3324,-276,16944,-3728,1754,389
2496,-688,17732,-3559,2433,437
1932,-1100,18388,-3390,2643,568
1480,-1128,18748,-3426,2477,498
1164,-1664,19128,-3647,1971,242
828,-1696,19348,-3952,1183,16
924,-1928,19244,-4064,376,-32
1392,-2344,19160,-3958,49,119
1600,-2544,19112,-3779,126,37
1608,-2848,18816,-3577,90,21
1580,-2764,18560,-3332,217,204
1808,-3256,18504,-3048,124,215
2076,-3072,18232,-2792,33,148
2144,-3216,18204,-2603,-143,4
2000,-2788,18736,-2371,-385,-116
2132,-2472,18512,-2071,-365,-148
2308,-2180,17784,-1947,-389,-227
2008,-1672,18056,-1545,-1023,-266
1940,-1916,17248,-1788,37,9
2276,-1880,16816,-2180,80,-95
1828,-1456,16652,-2630,106,-235
1664,-1408,16948,-3059,241,43
1620,-1492,17124,-3358,502,225
1760,-1660,17228,-3614,339,279
1864,-2316,17564,-4095,-221,187
2228,-2408,18200,-4604,-564,-291
1500,-2236,18896,-4745,-569,-927
420,-2264,19260,-4407,-205,-718
216,-2336,19232,-4069,-473,-413
804,-2700,18872,-3784,-581,-63
1524,-2972,18020,-3810,-1499,-31
2400,-3532,18024,-4026,-1324,51
3028,-3884,18696,-3727,-805,-1
3292,-3980,19024,-2813,-270,193
3548,-3920,18216,-2149,389,120
2940,-3720,18248,-2015,862,84
2412,-4172,18980,-1956,956,254
2232,-4184,19872,-1784,753,285
2068,-3972,20332,-1355,404,53
1728,-3812,19780,-850,-8,-65
1712,-3572,19296,-763,22,2
1916,-3652,19168,-831,-52,-2
1804,-3564,19160,-872,-212,-96
1804,-3428,18892,-909,-279,-183
1500,-3660,19088,-765,-466,-158
628,-4320,19360,-36,-988,147
1560,-3988,19484,1266,-1374,436
1968,-3948,18616,1833,-1217,532
2764,-3560,17692,1963,-1604,360
3088,-3532,16784,1535,-1611,39
2488,-2948,17136,1081,-1662,-94
2652,-2532,17176,915,-1327,159
2668,-1684,16984,534,-744,130
2000,-1592,17004,-138,-105,20
1340,-1740,17424,-769,267,176
1184,-1436,17848,-1189,173,305
940,-1780,18020,-1600,362,411
1504,-2464,17660,-1965,-159,442
1860,-2372,17300,-2586,-635,241
1660,-2648,17244,-3039,-937,235
1900,-3620,17800,-3165,-925,555
2300,-3892,18552,-2694,-919,789
2252,-3832,18792,-2028,-1050,643
2396,-3780,18260,-1837,-683,570
2484,-3364,17792,-1879,-687,492
2528,-3404,17664,-2119,-749,467
3024,-3524,17900,-2444,-533,464
2964,-3448,18504,-2688,-325,19
2300,-3512,18824,-2721,-175,-138
2088,-3520,18792,-2704,-273,-40
2240,-3376,18784,-2686,-98,73
2348,-4064,18964,-2485,-132,43
2176,-4168,19116,-2357,-42,56
1708,-4200,19424,-2034,72,392
2156,-4304,19644,-1687,19,568
2476,-4356,19752,-1352,320,550
2628,-4296,19408,-1029,262,403
2456,-4144,19056,-1058,122,254
2440,-4324,19028,-1253,-8,210
2480,-4336,19188,-1374,-173,-40
2080,-4480,19628,-1296,-193,-106
1968,-4536,19820,-1112,-28,-12
2044,-4644,19840,-732,21,35
1672,-4520,19852,-392,14,45
1596,-4540,19624,30,113,227
1968,-4460,19300,472,-55,429
2348,-4172,18472,476,20,324
2128,-4236,18448,224,277,305
2292,-4112,18424,198,322,281
2076,-3956,18488,341,489,339
2020,-4084,18556,597,535,355
1924,-3804,18196,704,392,184
1732,-3584,17772,428,38,-5
1508,-4044,17760,174,-317,46
1736,-3748,17732,30,-611,47
1760,-3440,17572,23,-493,35
1624,-3452,17404,208,-150,368
1952,-3700,17356,349,-41,495
2140,-3708,17084,301,152,398
1764,-3524,17112,225,44,328
1556,-3576,16896,110,-69,290
1124,-3560,17092,78,-15,472
1240,-3560,17416,266,138,688
1728,-3592,17020,369,147,563
1460,-3648,16744,93,222,261
840,-3860,17072,-134,318,340
704,-3536,16996,-167,348,514
420,-3636,17108,-135,303,716
432,-3668,17400,-120,168,840
152,-3784,17668,-164,48,914
392,-3636,17992,-334,415,760
76,-3684,17412,-468,-70,336
-244,-3864,17548,-800,-1,681
124,-4248,17624,-891,-121,1015
1168,-4336,18452,-520,34,958
1032,-4216,17824,-269,118,411
996,-3968,17608,-263,310,365
1156,-3620,17236,-375,741,480
796,-3172,17352,-776,816,554
440,-3536,17644,-973,1406,1014
444,-3808,18588,-706,1337,1317
104,-3764,18760,-227,715,1575
124,-3896,18704,97,200,1660
208,-3496,18136,47,-161,1640
256,-3904,18012,-196,-572,1904
892,-4108,17484,-345,-304,2212
1580,-4104,17612,-335,-245,2289
1548,-4240,17316,-679,355,2224
904,-4408,17452,-1120,527,2167
568,-4636,18340,-1211,335,2275
344,-4580,18932,-1000,84,2235
536,-4228,18576,-813,-154,1912
628,-3368,17820,-1132,157,1659
568,-3300,17340,-1960,944,1664
1208,-3612,17548,-2247,1653,1603
1184,-3684,17640,-1980,1768,1363
700,-3864,17700,-1637,2405,1439
660,-4552,17464,-1180,2637,1923
1796,-5100,17288,-844,2412,2135
2292,-5380,16972,-1029,1559,1541
1908,-4700,16936,-1671,1108,830
820,-4048,17652,-2182,646,477
-296,-3708,18540,-2110,608,887
40,-3700,18860,-1615,363,1346
672,-4056,18564,-1051,158,1620
728,-3904,18272,-852,109,1508
600,-4304,18360,-839,-158,1444
936,-4216,18244,-923,-467,1209
744,-3788,17940,-974,-722,802
-180,-3532,17644,-1102,-1679,1066
304,-4024,18692,-911,-880,1802
1520,-4584,18740,76,-1557,1917
1692,-4016,17692,291,-1515,1827
1508,-4376,17484,161,-1452,1936
1132,-4188,17900,163,-1399,2098
880,-4060,17980,773,-1462,2720
1216,-4064,17628,1355,-1630,3229
1764,-4156,17352,1536,-1785,3264
2328,-3956,16940,1007,-1129,2933
1860,-4144,17328,457,-1386,2543
1904,-4364,17232,127,-2436,2260
2416,-3936,17252,-256,-2308,2039
2164,-3680,17380,-183,-2085,2087
2448,-4028,17244,198,-1985,2542
2836,-4160,17012,439,-1759,2818
3964,-4720,17676,835,-381,2713
4440,-4844,17716,1281,-56,2134
3800,-4580,17136,1137,76,1307
2952,-4392,16980,670,446,1152
3104,-4068,17032,435,256,898
2688,-3660,16776,143,-236,484
1812,-3496,16968,-255,-452,365
1388,-3496,17136,-331,-930,756
1160,-3500,17700,-195,-985,1113
972,-3760,17988,128,-1378,1339
1364,-3828,18072,370,-1713,1477
1812,-3444,17920,556,-1899,1274
1920,-3376,17272,594,-2070,1077
2032,-3176,16392,353,-2211,1092
1904,-3104,16708,-7,-1949,1140
2028,-3628,16712,-16,-1671,1414
2464,-3692,16784,-33,-1381,1456
2268,-3752,17160,-37,-936,1352
2288,-4080,17304,50,-1002,1222
2588,-3992,16824,-160,-995,880
2080,-3728,16900,-553,-1203,512
820,-3356,17160,-837,-1175,643
640,-3476,17704,-720,-1310,1294
888,-3628,18216,-516,-1549,1563
1140,-3844,18080,-432,-1951,1485
1560,-3936,18116,-385,-2220,1412
2044,-4200,18132,-363,-2331,1316
2844,-4212,17636,-408,-2531,1012
3176,-4260,17472,-582,-2224,788
2800,-4476,17680,-505,-2394,651
3020,-4572,17836,-424,-2414,791
3644,-4804,17824,-322,-2771,720
3868,-4532,17672,-125,-2414,721
3868,-3904,17884,237,-1646,741
3512,-3732,17920,572,-799,792
3472,-3736,18220,857,-283,767
2844,-3588,18292,985,-127,755
2808,-3124,18016,905,-224,657
2428,-2536,17140,289,528,476
1852,-2828,17704,-8,226,706
1588,-2800,18420,149,626,926
928,-2456,18332,410,1076,1202
1228,-3276,18272,754,424,1677
2128,-3352,17976,694,-38,1510
2484,-3356,17652,496,-541,1193
2724,-3360,17328,174,-941,717
2592,-3108,17392,-47,-1021,420
2460,-3040,17384,-221,-1135,331
2344,-3128,17240,-431,-1240,371
2452,-3492,17668,-647,-1307,509
3192,-3944,18112,-547,-1687,485
3836,-3788,17780,-396,-1995,173
4160,-3832,17132,-439,-1690,-154
4056,-3488,16972,-664,-1255,-371
3848,-3620,17116,-835,-1040,-454
3568,-3532,17484,-712,-899,-284
3684,-3524,17976,-724,-664,-440
3308,-3744,18060,-871,-838,-778
3104,-3788,18236,-1007,-1087,-854
3512,-3464,18052,-996,-1091,-957
3000,-3596,18000,-937,-1074,-973
2988,-3576,18220,-806,-954,-603
3492,-3840,18228,-673,-955,-517
3736,-3736,18112,-732,-902,-996
3308,-3768,18484,-582,-697,-1105
3792,-3688,18200,-463,-520,-1165
3648,-3620,17904,-703,-333,-1544
2864,-3568,18468,-779,-87,-1505
2908,-3360,18476,-767,469,-1379
2876,-3452,18292,-830,531,-1428
2536,-3784,18548,-821,490,-1248
2676,-3628,18528,-703,170,-1281
2128,-3488,18524,-609,375,-1194
1768,-3552,18580,-304,445,-799
1840,-3464,18892,-8,756,-503
2124,-3704,18960,177,784,-515
2916,-3868,18504,91,264,-1007
3128,-3744,17964,-512,-173,-1883
2428,-3252,17728,-1067,-609,-2230
2208,-3412,17900,-1174,-547,-1742
2564,-3264,18208,-683,-228,-1180
3016,-3480,18292,-24,500,-698
3192,-3660,17772,377,903,-707
3060,-3472,17640,350,902,-971
2636,-3572,17628,15,574,-1235
2736,-3528,17724,-339,209,-1545
2380,-3424,17396,-724,-274,-1896
2216,-3468,17668,-1052,-548,-1819
2464,-3636,18016,-1093,-671,-1663
2728,-3764,18320,-825,-495,-1481
2824,-4084,18720,-349,-542,-1445
2968,-3852,18460,-28,-313,-1538
2500,-3528,18260,92,-268,-1650
2484,-3596,17968,-4,-564,-1341
3100,-3728,18404,-238,-710,-1354
3412,-3688,18572,-355,-769,-1701
3308,-3536,18356,-517,-519,-2007
3028,-3196,18440,-455,38,-1870
2752,-3324,18832,-121,842,-1511
2728,-3752,19208,505,1649,-867
3124,-3828,19108,931,2098,-763
2860,-3664,19024,985,1981,-950
2688,-3736,18608,738,1493,-1264
2376,-3388,18624,222,628,-1711
1620,-3188,19008,-189,-108,-1830
1780,-3160,19120,-32,-170,-1353
2476,-3092,19216,658,16,-1009
2384,-3148,18688,1059,641,-794
2148,-3264,18412,1112,1183,-471
1940,-3316,18804,1171,1303,-191
1692,-3164,18892,1167,1082,-87
1612,-3228,19048,1293,521,4
2032,-2724,18672,1486,146,-212
1992,-1988,17560,1268,31,-514
1596,-1796,17208,865,-147,-614
1588,-1700,17072,542,102,-424
1276,-1520,17280,658,229,13
1292,-1856,16900,1194,455,806
1988,-2460,17048,1696,785,1705
3012,-2976,17488,1987,750,1632
2956,-2932,17208,1754,528,962
2232,-2412,17248,1286,100,386
1656,-2192,17400,1040,183,285
1768,-2428,17400,1298,280,588
2388,-2860,17568,1397,-45,477
2548,-2836,17196,1012,-284,-72
1944,-2872,17140,542,-841,-306
1996,-2720,17488,333,-861,16
2416,-2912,17868,720,-800,437
2728,-2980,17860,1173,-539,549
2808,-3272,17816,1544,-473,673
3532,-3408,17504,1704,-201,605
3436,-3576,17396,1580,-528,-163
3260,-3700,17416,1191,-570,-614
3028,-3308,17732,905,-937,-1171
2492,-2664,17996,837,-1021,-1631
2040,-2560,18240,846,-1119,-1609
2232,-2352,18364,1059,-939,-1326
2692,-2204,18056,1462,-516,-983
2832,-2288,17568,1715,240,-558
3208,-2228,17268,1849,928,-169
3588,-2232,16916,1585,1252,-324
2792,-2420,17308,1146,1093,-679
2032,-2588,18216,1116,782,-535
2612,-2460,18428,1420,494,-562
3228,-2244,17656,1450,450,-1170
2464,-1612,17568,1194,698,-1604
1380,-1356,17888,1172,899,-1154
1800,-1536,17880,1613,1048,-458
2728,-1880,17312,1844,821,-554
3108,-2072,16668,1496,391,-1075
3148,-2336,16444,921,-277,-1589
2680,-2012,16440,369,-399,-1837
2312,-2064,16980,354,-350,-1468
2628,-2072,17028,742,3,-888
2708,-2116,17344,1248,578,-732
2168,-1732,16896,1483,964,-928
2064,-1672,16420,1272,792,-910
1848,-1516,16440,879,516,-842
2036,-1196,17464,897,1300,-917
1368,-1000,16948,1220,798,-1079
996,-912,16408,956,932,-819
920,-1164,16640,399,334,-709
1136,-1380,17508,232,344,-688
1184,-1400,17648,333,-33,-907
528,-1292,17792,198,-403,-1008
208,-1248,17952,181,-638,-723
388,-1240,18084,337,-414,-409
752,-1136,17996,698,-402,-106
876,-1036,17664,750,-315,31
1176,-796,17228,625,-231,229
968,-372,17536,442,-5,253
888,-280,17836,370,170,505
884,-448,17792,392,238,722
552,-456,17924,204,278,938
352,-884,18252,62,336,1302
684,-1236,18476,176,430,1600
924,-1644,18524,374,529,1709
1432,-2180,18080,178,383,1500
1728,-2668,18240,-139,-76,991
1600,-2416,18416,-330,-367,521
1588,-2096,17988,-232,-369,447
1376,-1968,18000,-131,-179,717
1364,-1920,18108,-26,45,954
1780,-2128,18360,112,105,998
1880,-1968,18276,55,-78,751
1604,-1468,18368,-14,65,696
1148,-1044,18388,423,268,1073
1284,-600,18440,1013,671,1668
1608,-588,17976,1340,889,1856
1652,-488,17456,1122,598,1840
2092,-648,17408,690,194,1689
2868,-788,17624,448,-483,1267
3244,-968,17296,193,-780,764
3488,-1020,17524,187,-627,646
4144,-1212,17696,331,-726,276
4292,-964,17420,268,-915,-346
3828,-564,17132,11,-1161,-717
3188,-220,17008,-315,-1358,-900
3108,24,16652,-528,-1656,-814
3356,-12,16540,-729,-1713,-837
3188,20,16748,-945,-1451,-920
2456,-248,16988,-1036,-1191,-817
2556,-488,17568,-960,-1098,-749
2488,-1016,17752,-744,-1015,-820
2636,-1148,17636,-486,-905,-882
2624,-1060,17048,-424,-678,-1010
1896,-1116,17252,-519,-333,-1015
1560,-1316,17684,-549,-144,-720
1396,-1360,18116,-166,123,-225
2040,-1608,17824,235,201,-5
2464,-1432,17348,186,259,-166
2312,-1348,17192,-91,336,-282
2256,-1264,17316,-343,317,-261
2264,-1068,17408,-490,292,-245
1936,-864,17484,-571,794,-151
972,-1000,17924,-406,1034,315
