1688,-1828,17992,119,-60,181
1392,-1784,17588,162,135,164
1292,-1216,17936,301,727,325
1200,-1452,17616,489,905,645
1396,-1672,17832,767,1052,932
1588,-1652,16724,707,646,786
1720,-1524,16796,437,282,834
968,-1508,17388,414,-148,896
1296,-1580,17244,138,191,923
1356,-1720,17744,142,181,793
1228,-1476,17436,106,314,686
1372,-1364,16968,255,294,742
1364,-1544,16540,155,191,876
1916,-1224,15828,-244,55,594
1428,-1156,15840,-852,204,596
1320,-932,17096,-830,450,558
1060,-992,16508,-711,332,736
1180,-944,15988,-938,-234,680
1252,-1068,16012,-1260,-531,729
1412,-1380,16012,-1458,-985,729
1664,-816,16624,-1619,-724,544
1628,-1064,16712,-1663,-858,338
1768,-1284,16280,-1785,-1477,-22
1684,-1316,16016,-1760,-1871,39
1872,-1136,15232,-1940,-2429,69
2732,-1796,14524,-2576,-2668,-31
3120,-1652,15180,-2687,-2469,81
3172,-2192,15312,-2295,-2120,533
4924,-2180,15120,-1909,-1478,642
5212,-2388,13704,-2149,-822,158
4600,-2472,13896,-2737,-790,-22
3960,-2092,14460,-3196,-478,-72
3204,-2168,16140,-3199,-435,111
3016,-2400,16588,-3446,184,-62
2968,-2304,17660,-3402,108,-247
2184,-2620,17576,-3448,-334,-423
1960,-2748,18140,-3391,-956,-201
2468,-2740,19104,-3124,-757,-370
1888,-2784,18200,-2939,-1141,-248
3440,-2868,18044,-3069,-1303,-503
3208,-2940,17560,-3349,-1325,-638
3588,-3376,17516,-3572,-1321,-743
3728,-3588,17364,-3681,-1530,-723
3688,-4272,17752,-3509,-1814,-653
2708,-3776,19156,-2857,-1441,-241
3688,-3504,18832,-2246,-755,-46
4288,-3500,17400,-1964,-191,-472
3592,-4036,16812,-2495,-376,-587
2972,-3864,17904,-2855,-1056,-923
3164,-3512,18076,-3197,-1154,-1240
2372,-4036,18660,-3072,-1089,-1253
2700,-3756,19292,-2677,-942,-1226
3240,-4016,18660,-2439,-1167,-1415
3320,-3792,18324,-2629,-1793,-2002
3100,-3420,18856,-2540,-1906,-2027
3084,-3340,18316,-2126,-1846,-2068
3616,-3472,17384,-2070,-1684,-1851
3484,-3120,16748,-2065,-1202,-1705
3360,-2912,16984,-1866,-323,-1050
4204,-3132,16856,-1499,474,-684
4656,-3600,15768,-1806,1092,-746
4764,-3920,16228,-2475,919,-1031
3760,-4164,17220,-2986,503,-1231
3948,-4156,18624,-2965,501,-1633
3360,-4252,18920,-2700,752,-1660
3364,-4404,18396,-2652,516,-1749
3344,-4612,18896,-2685,1117,-1787
3592,-4504,18828,-2554,1101,-1916
3572,-4840,18504,-2530,802,-1948
4280,-4812,18420,-2397,588,-2070
4152,-5044,17900,-2298,389,-2134
4464,-5284,17940,-2045,406,-2035
4820,-5396,17920,-1730,524,-2119
5084,-5464,17704,-1528,737,-2197
4932,-5608,17904,-1435,696,-2564
4876,-5244,17784,-1345,855,-2891
4568,-5024,17436,-1340,1051,-2944
4780,-4808,17100,-1305,1378,-3006
4748,-4708,16932,-1381,1636,-3094
4472,-4624,17408,-1498,1721,-3187
4184,-4348,17924,-1337,1860,-3392
3892,-4492,17380,-1321,1768,-3350
3652,-4400,17484,-1512,1494,-3417
3428,-4256,17980,-1618,1216,-3590
3116,-4312,18592,-1537,1268,-3617
3144,-4300,18524,-1211,1469,-3531
3216,-4252,17772,-1253,1609,-3491
2908,-4400,18020,-1337,1697,-3470
2632,-4640,18276,-1152,1616,-3282
